Site,Date,Day.Night,Time pt,Pool,Time,Salinity ,Conductivity,Temp.pool,DO,mV,Temp.in,pH.pre,TA,CRM.off,NN,PO,NH4,Wind,PoolID,SetID,comments
Bodega,7/28/2016,Night,3,1,0:48,36.6,41788,12.7,1.32,-16.4,12.015,7.429936255,2246.524375,0.340691,4.63,1.37,17.29762,1.4,1,16,
Bodega,7/28/2016,Night,3,2,0:49,36.5,41955,12.5,2.09,-18.8,12.312,7.470328454,2220.682694,0.340691,2.79,0.96,9.440476,1.4,2,17,
Bodega,7/28/2016,Night,3,3,0:50,36.6,41864,12.3,0.94,-9.6,12.17,7.308791385,2329.927816,0.340691,13.4,1.26,12.59524,1.4,3,18,
Bodega,7/28/2016,Night,3,4,0:53,36.6,42388,12.8,2.58,-17.8,12.59,7.450798943,2228.510242,0.340691,4.89,1,12.89286,1.4,4,19,
Bodega,7/28/2016,Night,3,5,0:55,36.6,42283,12.7,1.62,-11,12.29,7.332760917,2186.282653,0.340691,1.78,1.13,9.738095,1.4,5,20,
Bodega,7/28/2016,Night,3,6,0:56,36.5,42227,12.7,1.1,-10.4,12.52,7.320721142,2225.612187,0.340691,3.03,0.908,6.880952,1.4,6,21,
Bodega,7/28/2016,Night,3,7,0:58,36.5,41677,12.1,1.06,-14.2,11.997,7.391172999,2262.778516,0.340691,7.76,2.07,24.2619,1.4,7,22,
Bodega,7/28/2016,Night,3,8,1:00,36.5,41994,12.5,0.92,-11.4,12.307,7.33971537,2226.385235,0.340691,1.59,0.974,9.738095,1.4,8,23,
Bodega,7/28/2016,Night,3,9,1:03,36.6,41859,12.2,0.84,-10,12.371,7.314597447,2225.974857,0.340691,2.02,1.02,8.071429,1.4,9,24,
Bodega,7/28/2016,Night,3,10,1:05,36.6,41664,12.1,1.27,-12.7,12.05,7.364320497,2283.076838,0.340691,2.49,1.06,4.738095,1.4,10,25,
Bodega,7/28/2016,Night,3,11,1:11,36.5,41726,12.2,1.05,-7.6,12.067,7.274094719,2133.558641,0.340691,2.23,1.28,18.72619,1.4,11,26,
Bodega,7/28/2016,Night,3,12,1:07,36.6,41861,12.3,1.65,-14.7,12.205,7.398645681,2218.82237,0.340691,4.86,1.26,7,1.4,12,27,
Bodega,7/28/2016,Night,3,13,1:09,36.6,42018,12.4,2.7,-20.7,12.285,7.504059418,2223.877333,0.340691,1.91,0.82,4.97619,1.4,13,28,
Bodega,7/28/2016,Night,3,14,1:14,36.6,42789,13.2,1.43,-16.3,12.886,7.422375657,2213.659939,0.340691,2.89,0.894,7.178571,1.4,14,29,
Bodega,7/28/2016,Night,3,15,0:51,36.6,42145,12.6,1.7,-14.1,12.447,7.386471566,2194.136125,0.167425,2.91,0.969,9.916667,1.4,15,30,
Bodega,7/28/2016,Night,3,Ocean,0:17,36.6,41273,11.6,8.32,-43.9,11.717,7.918442559,2251.220057,0.167425,5.88,0.869,4.083333,1.4,Ocean,Ocean,
Bodega,7/28/2016,Night,4,1,1:48,36.6,41660,12,0.95,-16.1,11.767,7.426283815,2284.327545,0.167425,4.8,1.49,23.72619,0,1,16,
Bodega,7/28/2016,Night,4,2,1:49,36.6,42098,12.5,1.51,-16,12.188,7.421718256,2183.943765,0.167425,2.68,0.982,9.797619,0,2,17,
Bodega,7/28/2016,Night,4,3,1:50,36.6,41935,12.3,0.97,-8.5,12.006,7.290374398,2376.633273,0.167425,12.3,1.28,12.11905,0,3,18,
Bodega,7/28/2016,Night,4,4,1:53,36.5,42262,12.8,2.26,-14.1,12.442,7.386504143,2233.074845,0.167425,4.47,1.04,13.66667,0,4,19,
Bodega,7/28/2016,Night,4,5,1:55,36.6,41955,12.3,1.6,-7.1,12.312,7.26376837,2234.42109,0.167425,2.05,1.16,8.369048,0,5,20,
Bodega,7/28/2016,Night,4,6,1:56,36.4,41988,12.5,1.16,-8,12.343,7.279467249,2238.368966,0.167425,2.69,0.895,5.511905,0,6,21,
Bodega,7/28/2016,Night,4,7,1:58,36.6,41617,12,0.92,-12.4,11.894,7.360020731,2291.634868,0.167425,6.68,1.95,25.33333,0,7,22,
Bodega,7/28/2016,Night,4,8,2:00,36.5,41919,12.4,1.02,-9,12.112,7.298553231,2279.890446,0.465679,1.37,0.875,8.488095,0,8,23,
Bodega,7/28/2016,Night,4,9,2:01,36.6,41721,12.1,0.83,-8.2,12.135,7.284277958,2240.054837,0.167425,1.98,0.858,8.369048,0,9,24,
Bodega,7/28/2016,Night,4,10,2:03,36.5,41470,12,0.79,-11.8,11.89,7.34943791,2327.585195,0.167425,1.78,0.917,4.380952,0,10,25,
Bodega,7/28/2016,Night,4,11,2:10,36.6,41795,12.2,0.96,-4.9,11.98,7.226904066,2156.934765,0.167425,2.19,1.28,21.46429,0,11,26,
Bodega,7/28/2016,Night,4,12,2:06,36.5,41746,12.3,1.36,-12,12.067,7.351842161,2244.661795,0.167425,3.03,0.958,7,0,12,27,
Bodega,7/28/2016,Night,4,13,2:08,36.6,42006,12.4,2.1,-16.4,12.199,7.428709916,2212.946213,0.167425,1.07,0.669,5.154762,0,13,28,
Bodega,7/28/2016,Night,4,14,2:13,36.6,42803,13.1,1.29,-13.3,12.627,7.37119093,2216.591719,0.167425,1.75,0.735,5.630952,0,14,29,
Bodega,7/28/2016,Night,4,15,1:51,36.6,42110,12.5,1.47,-11,12.34,7.332444599,2184.996873,0.167425,2.7,0.931,7.952381,0,15,30,
Bodega,7/28/2016,Night,4,Ocean,2:15,36.6,41223,11.6,8.32,-43.7,11.615,7.915758091,2251.220057,0.167425,6.2,0.934,3.547619,0,Ocean,Ocean,
Bodega,7/28/2016,Night,5,1,2:46,36.6,41710,12.1,1.14,-14.7,11.646,7.402314728,2296.963256,-0.08687,4.29,1.46,17.05952,0,1,16,
Bodega,7/28/2016,Night,5,2,2:47,36.6,42009,12.4,1.7,-14,12.093,7.387012471,2232.130757,-0.08687,2.03,0.863,9.083333,0,2,17,
Bodega,7/28/2016,Night,5,3,2:50,36.6,41900,12.3,0.99,-8.1,11.9,7.283957232,2427.858527,-0.08687,19,1.46,12.83333,0,3,18,
Bodega,7/28/2016,Night,5,4,2:54,36.5,42190,12.7,2.04,-12,12.2,7.350992048,2244.909305,-0.08687,3.75,0.98,13.19048,0,4,19,
Bodega,7/28/2016,Night,5,5,2:57,36.5,42030,12.5,1.53,-7,12.009,7.263845664,2242.195249,-0.08687,1.7,1.26,7.535714,0,5,20,
Bodega,7/28/2016,Night,5,6,3:00,36.5,42057,12.5,1.02,-8.5,12.146,7.289509732,2256.133614,-0.08687,2.18,0.865,5.095238,0,6,21,
Bodega,7/28/2016,Night,5,7,3:02,36.6,41586,12,0.79,-13.2,11.608,7.376016865,2379.265117,-0.08687,4.1,1.98,27.71429,0,7,22,
Bodega,7/28/2016,Night,5,8,3:04,36.5,41765,12.3,1.01,-9,11.91,7.29980733,2279.262757,-0.08687,1.45,1.23,9.261905,0,8,23,
Bodega,7/28/2016,Night,5,9,3:07,36.6,41883,12.2,0.57,-7.7,11.835,7.277283629,2260.004498,-0.08687,1.55,0.866,9.916667,0,9,24,
Bodega,7/28/2016,Night,5,10,3:09,36.5,41383,11.9,1.06,-10,11.619,7.319313065,2379.920837,-0.08687,1.77,1.08,4.321429,0,10,25,
Bodega,7/28/2016,Night,5,11,3:26,36.6,41663,12.1,1.03,-4.2,11.037,7.220113999,2178.348743,-0.08687,2.34,1.4,19.79762,0,11,26,
Bodega,7/28/2016,Night,5,12,3:13,36.6,41791,12.2,0.9,-9.9,11.843,7.316138855,2254.896283,-0.08687,3.93,1.15,7,0,12,27,
Bodega,7/28/2016,Night,5,13,3:16,36.5,41914,12.3,1.3,-13.1,12.059,7.371330713,2229.148373,-0.08687,0.926,0.728,2.416667,0,13,28,
Bodega,7/28/2016,Night,5,14,3:23,36.6,42650,13.1,1.24,-10.8,12.784,7.326112662,2220.222082,-0.08687,1.88,0.867,3.190476,0,14,29,
Bodega,7/28/2016,Night,5,15,2:52,36.6,42070,12.5,1.12,-9.6,12.249,7.308298286,2197.726885,-0.08687,3.51,1.05,4.678571,0,15,30,
Bodega,7/28/2016,Night,5,Ocean,3:26,36.6,41368,11.8,8.03,-41.3,11.732,7.872321144,2246.519352,-0.08687,6.38,0.777,8.369048,0,Ocean,Ocean,
BobCreek,8/8/2016,Day,0,1,7:44,36.4,41571,12.2,2.71,-28.5,12.303,7.606252761,2174.029171,0.563103,1.62,1.38,1.46,0,16,31,
BobCreek,8/8/2016,Day,0,2,7:46,36.4,39732,10.3,6.93,-25.2,10.662,7.548753311,2120.568619,0.563103,5.78,0.84,5.88,0,17,32,
BobCreek,8/8/2016,Day,0,3,7:47,36.5,39458,9.8,6.31,-22.1,10.636,7.49371217,2101.148103,0.563103,12.2,1.36,13.58,0,18,33,
BobCreek,8/8/2016,Day,0,4,7:48,36.4,39134,9.7,5.46,-20.4,10.409,7.463555145,2097.10878,0.563103,13.6,1.34,16.27,0,19,34,
BobCreek,8/8/2016,Day,0,5,7:50,36.5,39494,10,1.54,-8.7,10.691,7.255773975,2060.507747,0.563103,7.78,1.33,18.58,0,20,35,
BobCreek,8/8/2016,Day,0,6,7:54,36.4,39064,9.6,2.66,-9.6,10.297,7.271544869,2142.320766,0.563103,12.1,1.37,28.32,0,21,36,
BobCreek,8/8/2016,Day,0,7,7:56,36.5,39430,9.9,4.62,-10.9,10.759,7.294866325,2152.783596,0.563103,8.19,1.42,14.15,0,22,37,
BobCreek,8/8/2016,Day,0,8,7:58,36.6,39575,10,7.93,-26.5,10.798,7.571765522,2180.475946,0.563103,4.73,0.979,4.6,0,23,38,
BobCreek,8/8/2016,Day,0,9,8:02,36.6,40857,11.2,2.51,-12.7,11.966,7.327199789,2370.722512,0.563103,1.12,1.08,6.01,0,24,39,
BobCreek,8/8/2016,Day,0,10,8:07,36.6,39865,10.2,4.43,-7.8,10.999,7.239989449,1992.245098,0.563103,7.38,1.27,11.91,0,25,40,
BobCreek,8/8/2016,Day,0,11,8:09,36.3,39616,10.3,4.57,-10.4,11.099,7.286150504,1983.452398,0.563103,7.89,1.45,9.86,0,26,41,
BobCreek,8/8/2016,Day,0,12,8:13,36.5,40301,10.8,2.96,-7.7,11.512,7.238539049,2127.928468,0.563103,3.71,1.36,11.33,0,27,42,
BobCreek,8/8/2016,Day,0,13,8:15,36.5,39842,10.4,3,-8.6,11.122,7.254249708,2121.614,0.465679,5.24,1.03,10.76,0,28,43,
BobCreek,8/8/2016,Day,0,14,8:17,36.3,40060,10.7,2.34,-5.8,11.562,7.204937866,2093.217,0.465679,8.15,1.58,19.6,0,29,44,
BobCreek,8/8/2016,Day,0,15,8:22,36.5,41728,12.3,2.2,-6.2,12.514,7.21268605,2358.773,0.465679,1.87,1.71,10.24,0,30,45,
BobCreek,8/8/2016,Day,0,Ocean,8:29,36.5,38846,9.3,9.5,-41.1,10.124,7.831870683,2237.672,0.465679,8.98,0.958,1.27,0,Ocean,Ocean,
BobCreek,8/8/2016,Day,1,1,8:45,36.4,41871,12.5,4.03,-19.9,12.547,7.454379264,2154.852,0.465679,0.828,1.16,1.72,1.4,16,31,
BobCreek,8/8/2016,Day,1,2,8:50,36.2,39818,10.6,6.71,-22.7,11.332,7.504159326,2044.378,0.465679,8.25,1.29,8.77,1.4,17,32,
BobCreek,8/8/2016,Day,1,3,8:51,36.6,40028,10.4,4.61,-18.4,11.315,7.427983211,2068.965,0.465679,10.9,1.37,15.18,1.4,18,33,
BobCreek,8/8/2016,Day,1,4,8:52,36.3,39422,10,3.53,-13.3,10.905,7.337511916,2115.678,0.465679,12.5,1.28,20.95,1.4,19,34,
BobCreek,8/8/2016,Day,1,5,8:55,36.4,40006,10.6,2.91,-8.8,11.361,7.257929731,2056.052,0.385941,8.56,1.62,14.79,1.4,20,35,
BobCreek,8/8/2016,Day,1,6,8:59,36.5,39636,10.1,2.7,-9.1,10.763,7.262916242,2128.333,0.385941,16.1,1.63,27.74,1.4,21,36,
BobCreek,8/8/2016,Day,1,7,9:03,36.6,40073,10.5,3.71,-10.7,11.111,7.291474882,2091.405,0.385941,9.53,1.61,15.18,1.4,22,37,
BobCreek,8/8/2016,Day,1,8,9:05,36.7,40128,10.4,9.27,-38.7,11.734,7.787083074,2121.745,0.385941,3.51,0.914,2.87,1.4,23,38,
BobCreek,8/8/2016,Day,1,9,9:08,36.7,41551,11.8,4.64,-25.2,12.64,7.547826878,2246.311,0.385941,0.202,0.886,4.22,1.4,24,39,
BobCreek,8/8/2016,Day,1,10,9:16,36.4,40535,11.1,5.6,-9.5,11.632,7.270467988,1926.018,0.385941,10,1.95,13.32,1.4,25,40,
BobCreek,8/8/2016,Day,1,11,9:18,36.4,40410,11,6.18,-13.5,11.701,7.341273287,1889.129,0.385941,13,2,9.47,1.4,26,41,
BobCreek,8/8/2016,Day,1,12,9:21,36.5,40968,11.4,4.03,-10.3,12.071,7.284824103,2091.434,0.116571,7.59,1.92,13.38,1.4,27,42,
BobCreek,8/8/2016,Day,1,13,9:24,36.5,40309,11,4.02,-14.4,11.792,7.357214871,2115.069,0.116571,8.7,1.21,10.5,1.4,28,43,
BobCreek,8/8/2016,Day,1,14,9:27,36.5,40927,11.4,2.91,-5.1,12.059,7.192932825,2018.211,0.116571,8.13,1.22,14.28,1.4,29,44,
BobCreek,8/8/2016,Day,1,15,9:32,36.6,42331,12.8,5.35,-6.9,12.951,7.225314168,2394.954,0.116571,2.27,1.53,11.85,1.4,30,45,
BobCreek,8/8/2016,Day,1,Ocean,9:38,36.2,38782,9.6,9.38,-46.9,11.084,7.933324397,2235.536,0.116571,15.4,1,1.97,1.4,Ocean,Ocean,
BobCreek,8/8/2016,Day,2,1,9:55,36.6,42792,13.1,6.45,-26.7,13.508,7.573765379,2134.776,0.116571,1.27,1.77,3.19,1.7,16,31,
BobCreek,8/8/2016,Day,2,2,9:58,36.4,41310,11.9,6.56,-31.1,13,7.651561734,1974.581,0.116571,11.2,1.4,8.45,1.7,17,32,
BobCreek,8/8/2016,Day,2,3,10:00,36.5,41352,11.7,6.31,-21.3,12.858,7.478997841,1967.007,0.116571,21.5,2.41,17.74,1.7,18,33,
BobCreek,8/8/2016,Day,2,4,10:01,36.5,40455,10.9,3.3,-12.9,12.032,7.330753978,2134.467,0.116571,16.8,1.77,27.36,1.7,19,34,
BobCreek,8/8/2016,Day,2,5,10:04,36.8,41558,11.6,5.26,-11.1,12.949,7.299297586,1947.308706,-0.97,12.4,2.78,18.77,1.7,20,35,
BobCreek,8/8/2016,Day,2,6,10:08,36.7,40499,10.7,4.4,-12.5,12.295,7.323766094,2127.226819,-0.97,21.9,2.46,38.06,1.7,21,36,
BobCreek,8/8/2016,Day,2,7,10:12,36.8,40907,11,4.09,-14.6,12.808,7.360929115,1972.840276,-0.97,9.54,1.91,11.91,1.7,22,37,
BobCreek,8/8/2016,Day,2,8,10:15,36.9,41538,11.6,15.52,-61.2,13.605,8.180047952,2033.525969,-0.97,4.7,1.24,4.47,1.7,23,38,
BobCreek,8/8/2016,Day,2,9,10:20,36.7,43350,13.6,16.78,-63.9,14.424,8.225136154,1986.914399,-0.97,1.94,1.14,4.92,1.7,24,39,
BobCreek,8/8/2016,Day,2,10,10:26,36.9,42364,12.4,9.85,-18.2,13.708,7.424309928,1773.265349,-0.97,9.35,3.64,11.46,1.7,25,40,
BobCreek,8/8/2016,Day,2,11,10:28,36.4,42847,13.4,12.03,-31.5,14.445,7.657305334,1724.671755,-0.97,7.49,2.2,7.81,1.7,26,41,
BobCreek,8/8/2016,Day,2,12,10:32,36.8,42430,12.6,6.24,-18.3,14.224,7.426015787,1921.41943,-0.97,5.96,1.74,13.77,1.7,27,42,
BobCreek,8/8/2016,Day,2,13,10:37,36.3,41402,12,7.02,-18.4,12.087,7.427947182,2051.734824,-0.97,6.33,1.09,12.68,1.7,28,43,
BobCreek,8/8/2016,Day,2,14,10:39,36.4,42570,13,5.48,-8.4,12.787,7.251648382,1926.443863,-0.97,9.72,1.29,23.26,1.7,29,44,
BobCreek,8/8/2016,Day,2,15,10:41,36.8,44286,14.4,10.97,-13.4,14.163,7.34007147,2343.250343,-0.97,3.43,1.59,13.96,1.7,30,45,
BobCreek,8/8/2016,Day,2,Ocean,10:47,36.3,39358,10.1,9.47,-54.1,11.812,8.059340564,2221.534093,-0.97,11.8,0.499,2.23,1.7,Ocean,Ocean,
BobCreek,8/8/2016,Day,3,1,10:55,36.6,44229,14.6,10.12,-41.2,15.016,7.826421458,2094,0.48,0.993,2.93,5.51,2.4,16,31,
BobCreek,8/8/2016,Day,3,2,10:57,36.4,43120,13.7,12.43,-46,14.51,7.911282906,1938.183,0.48,5.68,1.56,9.63,2.4,17,32,
BobCreek,8/8/2016,Day,3,3,11:00,36.5,43504,13.9,8.54,-28.9,15.548,7.610891001,1866.674,0.48,15.9,3.52,12.13,2.4,18,33,
BobCreek,8/8/2016,Day,3,4,11:02,36.6,41929,12.2,4.13,-15,13.391,7.368053302,2111.479,0.48,15,2.45,19.38,2.4,19,34,
BobCreek,8/8/2016,Day,3,5,11:05,36.6,42846,13.2,7.3,-9.7,13.799,7.27501467,1853.92,0.48,12.4,4.17,14.76,2.4,20,35,
BobCreek,8/8/2016,Day,3,6,11:07,36.7,41712,11.9,6.46,-16.5,12.718,7.394410857,2138.518,0.48,13.8,2.33,18.94,2.4,21,36,
BobCreek,8/8/2016,Day,3,7,11:10,36.8,41811,12,5.69,-17.7,12.108,7.415578873,1987.718,0.48,6.49,2.03,13.82,2.4,22,37,
BobCreek,8/8/2016,Day,3,8,11:13,36.9,42268,12.5,18.46,-78.1,14.683,8.473018786,1965.3,0.48,1.98,1.59,6.26,2.4,23,38,
BobCreek,8/8/2016,Day,3,9,11:15,36.8,44602,14.9,18.01,-84.6,15.472,8.58355155,1764.521,0.48,0.697,1.11,14.32,2.4,24,39,
BobCreek,8/8/2016,Day,3,10,11:18,36.5,43350,13.8,13.27,-28.2,14.431,7.599486919,1633.001,0.48,6.18,4.83,18.94,2.4,25,40,
BobCreek,8/8/2016,Day,3,11,11:20,36.3,43849,14.6,14.5,-39.7,15.157,7.799986214,1598.009,0.48,6.81,3.36,16.57,2.4,26,41,
BobCreek,8/8/2016,Day,3,12,11:23,36.6,43317,13.7,8.78,-20,14.498,7.455770488,1797.037,0.48,6.38,2.4,26.13,2.4,27,42,
BobCreek,8/8/2016,Day,3,13,11:26,36.5,42370,12.9,9.83,-25.2,13.554,7.547370355,2006.358,0.48,5.82,1.9,17.57,2.4,28,43,
BobCreek,8/8/2016,Day,3,14,11:30,36.7,43538,13.8,6.88,-10,14.56,7.280589282,1831.875,0.48,11.7,2.64,21.19,2.4,29,44,
BobCreek,8/8/2016,Day,3,15,11:32,37.1,45422,15.1,14.04,-25.9,14.735,7.559004121,2279.872,0.48,0.411,2.62,20.63,2.4,30,45,
BobCreek,8/8/2016,Day,3,Ocean,11:36,36.2,39477,10.2,9.42,-54.3,11.974,8.062508682,2188.914,0.48,6.07,0.874,10.94,2.4,Ocean,Ocean,
BobCreek,8/8/2016,Day,4,1,11:55,36.8,45751,15.8,12.71,-49.4,15.809,7.968225985,2030.817,0.48,0.147,1.43,13.44,2.2,16,31,
BobCreek,8/8/2016,Day,4,2,11:56,36.7,44768,14.9,14.55,-51.2,15.194,8.000933083,1752.895,0.48,6.37,2.11,17.57,2.2,17,32,
BobCreek,8/8/2016,Day,4,3,11:59,36.6,44544,14.9,9.08,-27.9,14.891,7.593906025,1732.046,0.48,13.5,3.3,26.51,2.2,18,33,
BobCreek,8/8/2016,Day,4,4,12:00,36.6,42804,13.1,4.42,-14.7,13.601,7.3628052,2081.866,0.48,16.9,3.26,30.63,2.2,19,34,
BobCreek,8/8/2016,Day,4,5,12:02,36.8,44122,14.2,6.78,-7.5,14.207,7.236604138,1703.116,0.48,9.63,3.48,23.94,2.2,20,35,
BobCreek,8/8/2016,Day,4,6,12:03,36.9,42153,12.2,5.46,-13,12.774,7.33272175,2156.085,0.48,16.7,3.49,36.88,2.2,21,36,
BobCreek,8/8/2016,Day,4,7,12:07,36.7,42794,13,10.26,-19.7,13.724,7.450660274,1892,0.2332,7.1,2.2,27.07,2.2,22,37,
BobCreek,8/8/2016,Day,4,8,12:12,36.8,43378,13.6,22.31,-87.6,14.884,8.638485487,1906.002,0.48,0.162,0.91,12.19,2.2,23,38,
BobCreek,8/8/2016,Day,4,9,12:15,37,45340,15.2,23.61,-86.5,14.958,8.61892282,1736.705,0.2332,0.624,1.76,19.19,2.2,24,39,
BobCreek,8/8/2016,Day,4,10,12:21,36.6,44004,14.4,15.2,-30.7,14.731,7.643036981,1495.535,0.48,3.89,3.72,22.32,2.2,25,40,
BobCreek,8/8/2016,Day,4,11,12:23,36.5,44695,15.1,14.56,-40.1,15.774,7.806075694,1457.238,0.48,3.79,2.71,20.38,2.2,26,41,
BobCreek,8/8/2016,Day,4,12,12:25,36.8,44378,14.5,7.29,-14.8,15.321,7.364734284,1660.107,0.48,7.73,2.82,26.94,2.2,27,42,
BobCreek,8/8/2016,Day,4,13,12:27,36.4,42272,13.4,11.4,-33.2,14.68,7.686855244,1952.303,0.48,4.11,1.79,22.19,2.2,28,43,
BobCreek,8/8/2016,Day,4,14,12:29,36.8,44040,14.2,7.34,-8.5,15.44,7.254723565,1793.893,0.48,3.46,1.24,25.88,2.2,29,44,
BobCreek,8/8/2016,Day,4,15,12:31,37,46212,16.1,15.29,-45.9,16.171,7.906521688,2119.246,0.48,0.372,1.68,30.26,2.2,30,45,
BobCreek,8/8/2016,Day,4,Ocean,12:36,36.3,40127,10.8,9.61,-52.2,12.874,8.023452361,2265.489,0.48,2.99,0.771,14.01,2.2,Ocean,Ocean,
BobCreek,8/8/2016,Day,5,1,12:44,36.9,46627,16.6,16.05,-60.7,16.962,8.162169666,1948.512,0.752,0.305,1.45,14.07,2.7,16,31,
BobCreek,8/8/2016,Day,5,2,12:46,36.7,45782,16,14.76,-54.5,16.283,8.056064104,1662.838,0.752,4.95,2.09,18.82,2.7,17,32,
BobCreek,8/8/2016,Day,5,3,12:47,36.6,45663,15.9,8.91,-26.3,15.819,7.565331357,1676.792,0.752,12.9,3.47,28.32,2.7,18,33,
BobCreek,8/8/2016,Day,5,4,12:49,36.6,43548,14,4.67,-15.3,14.61,7.373431418,2097.985,0.752,12.6,2.72,34.07,2.7,19,34,
BobCreek,8/8/2016,Day,5,5,12:51,36.4,43981,14.5,7.43,-7.3,15.298,7.233693004,1643.265,0.752,9.17,3.01,23.82,2.7,20,35,
BobCreek,8/8/2016,Day,5,6,12:53,36.7,43005,13.3,4.98,-15,14.2,7.368140587,2109.053,0.752,12.3,3.11,36.26,2.7,21,36,
BobCreek,8/8/2016,Day,5,7,12:56,37.2,43997,13.7,12.3,-21.4,14.8,7.480206392,1796.766,0.2332,3.72,2.13,19.82,2.7,22,37,
BobCreek,8/8/2016,Day,5,8,13:02,37.2,44054,13.8,24.68,-93.1,15.85,8.730208384,1868.392,0.752,0.42,0.784,14.19,2.7,23,38,
BobCreek,8/8/2016,Day,5,9,13:03,37,46678,16.3,17.68,-103,16.861,8.897525849,1559.543,0.752,0.705,0.877,14.13,2.7,24,39,
BobCreek,8/8/2016,Day,5,10,13:07,36.5,45044,15.4,15.59,-31.9,15.241,7.663557732,1377.525,0.752,2.86,3.91,22.13,2.7,25,40,
BobCreek,8/8/2016,Day,5,11,13:09,36.4,45824,16.2,14.41,-43.1,16.455,7.857275395,1357.271,0.752,5.69,3.18,21.76,2.7,26,41,
BobCreek,8/8/2016,Day,5,12,13:15,37.2,45471,15.2,7.54,-19.8,15.483,7.45204933,1560.849,0.752,4.22,1.72,26.13,2.7,27,42,
BobCreek,8/8/2016,Day,5,13,13:17,36.4,43832,14.4,13.42,-40.1,14.554,7.807852547,1902.096,0.752,2.54,1.54,15.51,2.7,28,43,
BobCreek,8/8/2016,Day,5,14,13:20,36.9,45649,15,7.01,-9.6,15.419,7.273925195,1691.852,0.752,5.47,1.51,37.38,2.7,29,44,
BobCreek,8/8/2016,Day,5,15,13:22,37.2,46954,16.6,18.71,-45.2,15.872,7.894861469,2082.286,0.752,0.014,1.28,30.76,2.7,30,45,
BobCreek,8/8/2016,Day,5,Ocean,13:29,36.3,40284,11.2,9.59,-52.4,12.806,8.027123888,2233.237,0.752,5.92,1.26,15.69,2.7,Ocean,Ocean,
BobCreek,8/10/2016,Night,0,1,21:47,37.3,45273,14.9,4.8,-21,15.042,7.473135091,2193.336,0.752,2.52,1.01,3.484,1.2,16,46,
BobCreek,8/10/2016,Night,0,2,21:50,36.6,40862,11.4,6.74,-16.8,12.162,7.399680553,2146.868,0.752,7.54,1.19,8.203,1.2,17,47,
BobCreek,8/10/2016,Night,0,3,21:53,36.7,40345,10.6,5.82,-15.5,11.788,7.376669965,2155.054,0.752,10.8,1.44,13.854,1.2,18,48,
BobCreek,8/10/2016,Night,0,4,21:54,36.7,40033,10.3,6.47,-20,11.579,7.456292683,2176.024,0.752,12.9,1.59,11.955,1.2,19,49,
